SSA,SSA-ids,USA,VP,asr,asr-conf,asr-dist,asr-time,attempt,avg-asr-conf,avg-asr-dist,avg-length,barge-in,count-SSA-ASKCONFIRM,count-SSA-ASKFORINFO,count-SSA-CONFIRM,count-SSA-DETAILS,count-SSA-INFO,count-SSA-NAV,count-SSA-SORRY,count-SSA-WELCOME,count-barge-in,count-words-sum,count-words-system,count-words-user,end,label,length,rating,rating-avgLinear,rating-closest,rating-closestAfter,rating-complete,rating-latest,rating-latestInTurn,speakers,start,task,text-system,text-user,turn,words-sum,words-system,words-user,rating-closestAfterOrLatest,pc-1-1,pc-2-1,pc-2-2,pc-3-1,pc-3-2,pc-3-3,pc-4-1,pc-4-2,pc-4-3,pc-4-4,pc-5-1,pc-5-2,pc-5-3,pc-5-4,pc-5-5,pc-6-1,pc-6-2,pc-6-3,pc-6-4,pc-6-5,pc-6-6,pc-7-1,pc-7-2,pc-7-3,pc-7-4,pc-7-5,pc-7-6,pc-7-7,pc-8-1,pc-8-2,pc-8-3,pc-8-4,pc-8-5,pc-8-6,pc-8-7,pc-8-8,pc-9-1,pc-9-2,pc-9-3,pc-9-4,pc-9-5,pc-9-6,pc-9-7,pc-9-8,pc-9-9,SSA-ASKCONFIRM,SSA-ASKFORINFO,SSA-DETAILS,SSA-INFO,SSA-NAV,SSA-SORRY,SSA-WELCOME
ASKFORINFO WELCOME NAV,1,0,2,,0.0,-1.0,,1,,,22.0,0,0,1,0,0,0,1,0,1,0.0,52.0,52.0,0.0,22,211,22,3.0,,,,,,,s,0,1,Herzlich Willkommen beim Kundenservice der Telekom. Schön dass Sie unser Kunde sind. Dieser Anruf ist kostenfrei. Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren. Sie steuern mich indem Sie mit mir sprechen. Wenn Sie wollen unterbrechen Sie mich einfach. Bitte nennen Sie mir jetzt ihr Anliegen.,,211,52,52,0,3.0,-1.4504634611604783,-1.4504634611604783,-0.646971686037883,-1.4504634611604783,-0.646971686037883,0.938353901282742,-1.4504634611604783,-0.646971686037883,0.938353901282742,0.7186205101434842,-1.4504634611604783,-0.646971686037883,0.938353901282742,0.7186205101434842,1.097886952449645,-1.4504634611604783,-0.646971686037883,0.938353901282742,0.7186205101434842,1.097886952449645,0.8171765516010008,-1.4504634611604783,-0.646971686037883,0.938353901282742,0.7186205101434842,1.097886952449645,0.8171765516010008,0.11813862794115287,-1.4504634611604783,-0.646971686037883,0.938353901282742,0.7186205101434842,1.097886952449645,0.8171765516010008,0.11813862794115287,0.30563522055686493,-1.4504634611604783,-0.646971686037883,0.938353901282742,0.7186205101434842,1.097886952449645,0.8171765516010008,0.11813862794115287,0.30563522055686493,0.08242785887896205,0.0,1.0,0.0,1.0,1.0,0.0,1.0
INFO ASKFORINFO NAV,14,0,2,,0.0,-1.0,,1,,,12.0,0,0,2,0,0,1,2,0,1,0.0,73.0,73.0,0.0,38,211,10,3.0,,3.0,3.0,3.0,,,s,28,1,Derzeit bieten wir kein aktuelles Bonusprogramm an. Sie befinden Sich nun wieder am Start. Was kann ich noch für Sie tun?,,211,21,21,0,3.0,-0.5043301942292376,-0.5043301942292376,0.032432748680685665,-0.5043301942292376,0.032432748680685665,1.3296417770751754,-0.5043301942292376,0.032432748680685665,1.3296417770751754,0.49489692574462074,-0.5043301942292376,0.032432748680685665,1.3296417770751754,0.49489692574462074,1.0916709606004154,-0.5043301942292376,0.032432748680685665,1.3296417770751754,0.49489692574462074,1.0916709606004154,0.6057444027108059,-0.5043301942292376,0.032432748680685665,1.3296417770751754,0.49489692574462074,1.0916709606004154,0.6057444027108059,0.15668442098915983,-0.5043301942292376,0.032432748680685665,1.3296417770751754,0.49489692574462074,1.0916709606004154,0.6057444027108059,0.15668442098915983,0.6252736212109815,-0.5043301942292376,0.032432748680685665,1.3296417770751754,0.49489692574462074,1.0916709606004154,0.6057444027108059,0.15668442098915983,0.6252736212109815,-0.0023175791652347982,0.0,1.0,0.0,1.0,1.0,0.0,0.0
INFO ASKFORINFO NAV,14,0,2,,0.0,-1.0,,1,,,12.0,0,0,3,0,0,2,3,0,1,0.0,94.0,94.0,0.0,52,211,12,3.0,3.0,,,,3.0,3.0,s,40,1,Derzeit bieten wir kein aktuelles Bonusprogramm an. Sie befinden Sich nun wieder am Start. Was kann ich noch für Sie tun?,,211,21,21,0,3.0,-0.5873397788296019,-0.5873397788296019,0.05073555674793052,-0.5873397788296019,0.05073555674793052,1.270903630975942,-0.5873397788296019,0.05073555674793052,1.270903630975942,0.5773281705116944,-0.5873397788296019,0.05073555674793052,1.270903630975942,0.5773281705116944,1.021615830373562,-0.5873397788296019,0.05073555674793052,1.270903630975942,0.5773281705116944,1.021615830373562,0.571518665630027,-0.5873397788296019,0.05073555674793052,1.270903630975942,0.5773281705116944,1.021615830373562,0.571518665630027,0.14336696628701498,-0.5873397788296019,0.05073555674793052,1.270903630975942,0.5773281705116944,1.021615830373562,0.571518665630027,0.14336696628701498,0.5756509810913503,-0.5873397788296019,0.05073555674793052,1.270903630975942,0.5773281705116944,1.021615830373562,0.571518665630027,0.14336696628701498,0.5756509810913503,-0.10392352967435732,0.0,1.0,0.0,1.0,1.0,0.0,0.0
SORRY ASKFORINFO,12,0,2,,0.0,-1.0,,1,,,11.6,0,0,4,0,0,2,3,1,1,0.0,117.0,117.0,0.0,65,211,10,3.0,,,,,3.0,,s,55,1,Entschuldigung ich konnte Sie leider nicht verstehen. Am besten nennen Sie mir ein Stichwort oder einen kurzen Satz. Bitte wiederholen Sie Ihr Anliegen.,,211,23,23,0,3.0,-0.5533840167598498,-0.5533840167598498,0.1428732087430101,-0.5533840167598498,0.1428732087430101,1.266084894283066,-0.5533840167598498,0.1428732087430101,1.266084894283066,0.6186976258731627,-0.5533840167598498,0.1428732087430101,1.266084894283066,0.6186976258731627,0.9613383499901386,-0.5533840167598498,0.1428732087430101,1.266084894283066,0.6186976258731627,0.9613383499901386,0.5257102391435498,-0.5533840167598498,0.1428732087430101,1.266084894283066,0.6186976258731627,0.9613383499901386,0.5257102391435498,0.1433364455071088,-0.5533840167598498,0.1428732087430101,1.266084894283066,0.6186976258731627,0.9613383499901386,0.5257102391435498,0.1433364455071088,0.5753490009730836,-0.5533840167598498,0.1428732087430101,1.266084894283066,0.6186976258731627,0.9613383499901386,0.5257102391435498,0.1433364455071088,0.5753490009730836,0.04160107637127278,0.0,1.0,0.0,1.0,0.0,1.0,0.0
INFO,2,0,2,,0.0,-1.0,,1,,,12.166666666666666,0,0,4,0,0,3,3,1,1,0.0,144.0,144.0,0.0,85,211,15,3.0,,,,,3.0,,s,70,1,Sie sind für Xtra-Bonus registriert. Ihr aktueller Punktestand neununddreizig Komma fünf. Günstige Handys gibt es auch für Xtra-Kunden. Melden Sie Sich hier bei mir für Xtra-Bonus an.,,211,27,27,0,3.0,-0.8174614559106382,-0.8174614559106382,0.07668117686205708,-0.8174614559106382,0.07668117686205708,1.1180521187093238,-0.8174614559106382,0.07668117686205708,1.1180521187093238,0.7809702782648601,-0.8174614559106382,0.07668117686205708,1.1180521187093238,0.7809702782648601,0.851133093750583,-0.8174614559106382,0.07668117686205708,1.1180521187093238,0.7809702782648601,0.851133093750583,0.5006268679764225,-0.8174614559106382,0.07668117686205708,1.1180521187093238,0.7809702782648601,0.851133093750583,0.5006268679764225,0.11638335982126297,-0.8174614559106382,0.07668117686205708,1.1180521187093238,0.7809702782648601,0.851133093750583,0.5006268679764225,0.11638335982126297,0.45150700727405474,-0.8174614559106382,0.07668117686205708,1.1180521187093238,0.7809702782648601,0.851133093750583,0.5006268679764225,0.11638335982126297,0.45150700727405474,-0.12276106618718607,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,0,1,2,bonus punkte programm,67.0,2.0,27.0,1,67.0,2.0,10.714285714285714,0,0,4,0,0,3,3,1,1,0.0,145.0,144.0,1.0,24,211,2,3.0,,,,,,,u,22,1,,Bonuspunkteprogramm.,211,1,0,1,3.0,1.407138722984681,1.407138722984681,-0.472766385202504,1.407138722984681,-0.472766385202504,0.972582240395434,1.407138722984681,-0.472766385202504,0.972582240395434,0.7908673092035614,1.407138722984681,-0.472766385202504,0.972582240395434,0.7908673092035614,1.4061227829939282,1.407138722984681,-0.472766385202504,0.972582240395434,0.7908673092035614,1.4061227829939282,0.1890823640506146,1.407138722984681,-0.472766385202504,0.972582240395434,0.7908673092035614,1.4061227829939282,0.1890823640506146,1.149316326689321,1.407138722984681,-0.472766385202504,0.972582240395434,0.7908673092035614,1.4061227829939282,0.1890823640506146,1.149316326689321,-0.20101426801511613,1.407138722984681,-0.472766385202504,0.972582240395434,0.7908673092035614,1.4061227829939282,0.1890823640506146,1.149316326689321,-0.20101426801511613,-0.03471111943915505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,2,2,unserem bonus punkte programm,66.0,8.0,41.0,1,66.5,5.0,9625.0,0,0,4,0,0,3,3,1,1,0.0,148.0,144.0,4.0,40,211,2,3.0,,3.0,3.0,3.0,,,u,38,1,,Punkte beim Bonuspunkteprogramm.,211,3,0,3,3.0,2.1963306209922995,2.1963306209922995,-1.3812212608923629,2.1963306209922995,-1.3812212608923629,0.3757299837529876,2.1963306209922995,-1.3812212608923629,0.3757299837529876,1.51808723400516,2.1963306209922995,-1.3812212608923629,0.3757299837529876,1.51808723400516,1.3646428215555937,2.1963306209922995,-1.3812212608923629,0.3757299837529876,1.51808723400516,1.3646428215555937,-0.510802317101538,2.1963306209922995,-1.3812212608923629,0.3757299837529876,1.51808723400516,1.3646428215555937,-0.510802317101538,0.5399352215680137,2.1963306209922995,-1.3812212608923629,0.3757299837529876,1.51808723400516,1.3646428215555937,-0.510802317101538,0.5399352215680137,0.318136773596567,2.1963306209922995,-1.3812212608923629,0.3757299837529876,1.51808723400516,1.3646428215555937,-0.510802317101538,0.5399352215680137,0.318136773596567,0.007078677623169004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,2,2,,0.0,-1.0,,1,66.5,5.0,8.88888888888889,0,0,4,0,0,3,3,1,1,0.0,155.0,144.0,11.0,55,211,3,3.0,,,,,3.0,,u,52,1,,Wieviel Punkte habe ich beim Bonuspunkteprogramm gesammelt?,211,7,0,7,3.0,1.370739557208252,1.370739557208252,-0.40772012198598306,1.370739557208252,-0.40772012198598306,1.376999753390286,1.370739557208252,-0.40772012198598306,1.376999753390286,0.7265338117220043,1.370739557208252,-0.40772012198598306,1.376999753390286,0.7265338117220043,1.354393360918832,1.370739557208252,-0.40772012198598306,1.376999753390286,0.7265338117220043,1.354393360918832,-0.018082703026984098,1.370739557208252,-0.40772012198598306,1.376999753390286,0.7265338117220043,1.354393360918832,-0.018082703026984098,-2.5596252504668184,1.370739557208252,-0.40772012198598306,1.376999753390286,0.7265338117220043,1.354393360918832,-0.018082703026984098,-2.5596252504668184,-0.51931751903333,1.370739557208252,-0.40772012198598306,1.376999753390286,0.7265338117220043,1.354393360918832,-0.018082703026984098,-2.5596252504668184,-0.51931751903333,0.024835429889623444,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,2,2,,0.0,-1.0,,1,66.5,5.0,8.5,0,0,4,0,0,3,3,1,1,0.0,164.0,144.0,20.0,70,211,5,3.0,,,,,3.0,,u,65,1,,Wieviel Punkte hab ich beim Bonuspunkte Programm gewonnen gesammelt?,211,9,0,9,3.0,1.6528282983598426,1.6528282983598426,-0.6424006554703495,1.6528282983598426,-0.6424006554703495,1.262799890601023,1.6528282983598426,-0.6424006554703495,1.262799890601023,0.911478201424372,1.6528282983598426,-0.6424006554703495,1.262799890601023,0.911478201424372,1.3648367433822226,1.6528282983598426,-0.6424006554703495,1.262799890601023,0.911478201424372,1.3648367433822226,-0.18888930953138583,1.6528282983598426,-0.6424006554703495,1.262799890601023,0.911478201424372,1.3648367433822226,-0.18888930953138583,-3.3550607638610788,1.6528282983598426,-0.6424006554703495,1.262799890601023,0.911478201424372,1.3648367433822226,-0.18888930953138583,-3.3550607638610788,-0.9520000040385244,1.6528282983598426,-0.6424006554703495,1.262799890601023,0.911478201424372,1.3648367433822226,-0.18888930953138583,-3.3550607638610788,-0.9520000040385244,-0.03626152373778792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASKFORINFO WELCOME NAV,1,0,2,,0.0,-1.0,,1,,,23.0,0,0,1,0,0,0,1,0,1,0.0,52.0,52.0,0.0,23,221,23,3.0,,,,,,,s,0,2,Herzlich Willkommen beim Kundenservice der Telekom. Schön dass Sie unser Kunde sind. Dieser Anruf ist kostenfrei. Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren. Sie steuern mich indem Sie mit mir sprechen. Wenn Sie wollen unterbrechen Sie mich einfach. Bitte nennen Sie mir jetzt ihr Anliegen.,,221,52,52,0,3.0,-1.4882972117444948,-1.4882972117444948,-0.6666880856048989,-1.4882972117444948,-0.6666880856048989,0.9131578594880893,-1.4882972117444948,-0.6666880856048989,0.9131578594880893,0.7257176857515352,-1.4882972117444948,-0.6666880856048989,0.9131578594880893,0.7257176857515352,1.0881448064418675,-1.4882972117444948,-0.6666880856048989,0.9131578594880893,0.7257176857515352,1.0881448064418675,0.816221393782266,-1.4882972117444948,-0.6666880856048989,0.9131578594880893,0.7257176857515352,1.0881448064418675,0.816221393782266,0.11399384502076064,-1.4882972117444948,-0.6666880856048989,0.9131578594880893,0.7257176857515352,1.0881448064418675,0.816221393782266,0.11399384502076064,0.2893370426988456,-1.4882972117444948,-0.6666880856048989,0.9131578594880893,0.7257176857515352,1.0881448064418675,0.816221393782266,0.11399384502076064,0.2893370426988456,0.03178843062069964,0.0,1.0,0.0,1.0,1.0,0.0,1.0
