SSA,SSA-ids,USA,VP,asr,asr-conf,asr-dist,asr-time,attempt,avg-asr-conf,avg-asr-dist,avg-length,barge-in,count-SSA-ASKCONFIRM,count-SSA-ASKFORINFO,count-SSA-CONFIRM,count-SSA-DETAILS,count-SSA-INFO,count-SSA-NAV,count-SSA-SORRY,count-SSA-WELCOME,count-barge-in,count-words-sum,count-words-system,count-words-user,end,label,length,rating,rating-1,rating-backup,rating-avgLinear,rating-closest,rating-closestAfter,rating-complete,rating-latest,rating-latestInTurn,speakers,start,task,text-system,text-user,turn,words-sum,words-system,words-user,rating-closestAfterOrLatest,pc-1-1,pc-2-1,pc-2-2,pc-3-1,pc-3-2,pc-3-3,pc-4-1,pc-4-2,pc-4-3,pc-4-4,pc-5-1,pc-5-2,pc-5-3,pc-5-4,pc-5-5,pc-6-1,pc-6-2,pc-6-3,pc-6-4,pc-6-5,pc-6-6,pc-7-1,pc-7-2,pc-7-3,pc-7-4,pc-7-5,pc-7-6,pc-7-7,pc-8-1,pc-8-2,pc-8-3,pc-8-4,pc-8-5,pc-8-6,pc-8-7,pc-8-8,pc-9-1,pc-9-2,pc-9-3,pc-9-4,pc-9-5,pc-9-6,pc-9-7,pc-9-8,pc-9-9,SSA-ASKCONFIRM,SSA-ASKFORINFO,SSA-DETAILS,SSA-INFO,SSA-NAV,SSA-SORRY,SSA-WELCOME
ASKFORINFO WELCOME NAV,1,0,2,,0,-1,,1,,,22,0,0,1,0,0,0,1,0,1,0,52,52,0,22,211,22,,,3,,,,,,,s,0,1,Herzlich Willkommen beim Kundenservice der Telekom. Schön dass Sie unser Kunde sind. Dieser Anruf ist kostenfrei. Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren. Sie steuern mich indem Sie mit mir sprechen. Wenn Sie wollen unterbrechen Sie mich einfach. Bitte nennen Sie mir jetzt ihr Anliegen.,,211,52,52,0,3,-1.4504634612,-1.4504634612,-0.646971686,-1.4504634612,-0.646971686,0.9383539013,-1.4504634612,-0.646971686,0.9383539013,0.7186205101,-1.4504634612,-0.646971686,0.9383539013,0.7186205101,1.0978869524,-1.4504634612,-0.646971686,0.9383539013,0.7186205101,1.0978869524,0.8171765516,-1.4504634612,-0.646971686,0.9383539013,0.7186205101,1.0978869524,0.8171765516,0.1181386279,-1.4504634612,-0.646971686,0.9383539013,0.7186205101,1.0978869524,0.8171765516,0.1181386279,0.3056352206,-1.4504634612,-0.646971686,0.9383539013,0.7186205101,1.0978869524,0.8171765516,0.1181386279,0.3056352206,0.0824278589,0,1,0,1,1,0,1
INFO ASKFORINFO NAV,14,0,2,,0,-1,,1,,,12,0,0,2,0,0,1,2,0,1,0,73,73,0,38,211,10,,,3,,3,3,3,,,s,28,1,Derzeit bieten wir kein aktuelles Bonusprogramm an. Sie befinden Sich nun wieder am Start. Was kann ich noch für Sie tun?,,211,21,21,0,3,-0.5043301942,-0.5043301942,0.0324327487,-0.5043301942,0.0324327487,1.3296417771,-0.5043301942,0.0324327487,1.3296417771,0.4948969257,-0.5043301942,0.0324327487,1.3296417771,0.4948969257,1.0916709606,-0.5043301942,0.0324327487,1.3296417771,0.4948969257,1.0916709606,0.6057444027,-0.5043301942,0.0324327487,1.3296417771,0.4948969257,1.0916709606,0.6057444027,0.156684421,-0.5043301942,0.0324327487,1.3296417771,0.4948969257,1.0916709606,0.6057444027,0.156684421,0.6252736212,-0.5043301942,0.0324327487,1.3296417771,0.4948969257,1.0916709606,0.6057444027,0.156684421,0.6252736212,-0.0023175792,0,1,0,1,1,0,0
INFO ASKFORINFO NAV,14,0,2,,0,-1,,1,,,12,0,0,3,0,0,2,3,0,1,0,94,94,0,52,211,12,1,0,3,3,,,,3,3,s,40,1,Derzeit bieten wir kein aktuelles Bonusprogramm an. Sie befinden Sich nun wieder am Start. Was kann ich noch für Sie tun?,,211,21,21,0,3,-0.5873397788,-0.5873397788,0.0507355567,-0.5873397788,0.0507355567,1.270903631,-0.5873397788,0.0507355567,1.270903631,0.5773281705,-0.5873397788,0.0507355567,1.270903631,0.5773281705,1.0216158304,-0.5873397788,0.0507355567,1.270903631,0.5773281705,1.0216158304,0.5715186656,-0.5873397788,0.0507355567,1.270903631,0.5773281705,1.0216158304,0.5715186656,0.1433669663,-0.5873397788,0.0507355567,1.270903631,0.5773281705,1.0216158304,0.5715186656,0.1433669663,0.5756509811,-0.5873397788,0.0507355567,1.270903631,0.5773281705,1.0216158304,0.5715186656,0.1433669663,0.5756509811,-0.1039235297,0,1,0,1,1,0,0
SORRY ASKFORINFO,12,0,2,,0,-1,,1,,,11.6,0,0,4,0,0,2,3,1,1,0,117,117,0,65,211,10,,,3,,,,,3,,s,55,1,Entschuldigung ich konnte Sie leider nicht verstehen. Am besten nennen Sie mir ein Stichwort oder einen kurzen Satz. Bitte wiederholen Sie Ihr Anliegen.,,211,23,23,0,3,-0.5533840168,-0.5533840168,0.1428732087,-0.5533840168,0.1428732087,1.2660848943,-0.5533840168,0.1428732087,1.2660848943,0.6186976259,-0.5533840168,0.1428732087,1.2660848943,0.6186976259,0.96133835,-0.5533840168,0.1428732087,1.2660848943,0.6186976259,0.96133835,0.5257102391,-0.5533840168,0.1428732087,1.2660848943,0.6186976259,0.96133835,0.5257102391,0.1433364455,-0.5533840168,0.1428732087,1.2660848943,0.6186976259,0.96133835,0.5257102391,0.1433364455,0.575349001,-0.5533840168,0.1428732087,1.2660848943,0.6186976259,0.96133835,0.5257102391,0.1433364455,0.575349001,0.0416010764,0,1,0,1,0,1,0
INFO,2,0,2,,0,-1,,1,,,12.1666666667,0,0,4,0,0,3,3,1,1,0,144,144,0,85,211,15,,,3,,,,,3,,s,70,1,Sie sind für Xtra-Bonus registriert. Ihr aktueller Punktestand neununddreizig Komma fünf. Günstige Handys gibt es auch für Xtra-Kunden. Melden Sie Sich hier bei mir für Xtra-Bonus an.,,211,27,27,0,3,-0.8174614559,-0.8174614559,0.0766811769,-0.8174614559,0.0766811769,1.1180521187,-0.8174614559,0.0766811769,1.1180521187,0.7809702783,-0.8174614559,0.0766811769,1.1180521187,0.7809702783,0.8511330938,-0.8174614559,0.0766811769,1.1180521187,0.7809702783,0.8511330938,0.500626868,-0.8174614559,0.0766811769,1.1180521187,0.7809702783,0.8511330938,0.500626868,0.1163833598,-0.8174614559,0.0766811769,1.1180521187,0.7809702783,0.8511330938,0.500626868,0.1163833598,0.4515070073,-0.8174614559,0.0766811769,1.1180521187,0.7809702783,0.8511330938,0.500626868,0.1163833598,0.4515070073,-0.1227610662,0,0,0,1,0,0,0
,0,1,2,bonus punkte programm,67,2,27,1,67,2,10.7142857143,0,0,4,0,0,3,3,1,1,0,145,144,1,24,211,2,,,3,,,,,,,u,22,1,,Bonuspunkteprogramm.,211,1,0,1,3,1.407138723,1.407138723,-0.4727663852,1.407138723,-0.4727663852,0.9725822404,1.407138723,-0.4727663852,0.9725822404,0.7908673092,1.407138723,-0.4727663852,0.9725822404,0.7908673092,1.406122783,1.407138723,-0.4727663852,0.9725822404,0.7908673092,1.406122783,0.1890823641,1.407138723,-0.4727663852,0.9725822404,0.7908673092,1.406122783,0.1890823641,1.1493163267,1.407138723,-0.4727663852,0.9725822404,0.7908673092,1.406122783,0.1890823641,1.1493163267,-0.201014268,1.407138723,-0.4727663852,0.9725822404,0.7908673092,1.406122783,0.1890823641,1.1493163267,-0.201014268,-0.0347111194,0,0,0,0,0,0,0
,0,2,2,unserem bonus punkte programm,66,8,41,1,66.5,5,9625,0,0,4,0,0,3,3,1,1,0,148,144,4,40,211,2,,,3,,3,3,3,,,u,38,1,,Punkte beim Bonuspunkteprogramm.,211,3,0,3,3,2.196330621,2.196330621,-1.3812212609,2.196330621,-1.3812212609,0.3757299838,2.196330621,-1.3812212609,0.3757299838,1.518087234,2.196330621,-1.3812212609,0.3757299838,1.518087234,1.3646428216,2.196330621,-1.3812212609,0.3757299838,1.518087234,1.3646428216,-0.5108023171,2.196330621,-1.3812212609,0.3757299838,1.518087234,1.3646428216,-0.5108023171,0.5399352216,2.196330621,-1.3812212609,0.3757299838,1.518087234,1.3646428216,-0.5108023171,0.5399352216,0.3181367736,2.196330621,-1.3812212609,0.3757299838,1.518087234,1.3646428216,-0.5108023171,0.5399352216,0.3181367736,0.0070786776,0,0,0,0,0,0,0
,0,2,2,,0,-1,,1,66.5,5,8.8888888889,0,0,4,0,0,3,3,1,1,0,155,144,11,55,211,3,,,3,,,,,3,,u,52,1,,Wieviel Punkte habe ich beim Bonuspunkteprogramm gesammelt?,211,7,0,7,3,1.3707395572,1.3707395572,-0.407720122,1.3707395572,-0.407720122,1.3769997534,1.3707395572,-0.407720122,1.3769997534,0.7265338117,1.3707395572,-0.407720122,1.3769997534,0.7265338117,1.3543933609,1.3707395572,-0.407720122,1.3769997534,0.7265338117,1.3543933609,-0.018082703,1.3707395572,-0.407720122,1.3769997534,0.7265338117,1.3543933609,-0.018082703,-2.5596252505,1.3707395572,-0.407720122,1.3769997534,0.7265338117,1.3543933609,-0.018082703,-2.5596252505,-0.519317519,1.3707395572,-0.407720122,1.3769997534,0.7265338117,1.3543933609,-0.018082703,-2.5596252505,-0.519317519,0.0248354299,0,0,0,0,0,0,0
,0,2,2,,0,-1,,1,66.5,5,8.5,0,0,4,0,0,3,3,1,1,0,164,144,20,70,211,5,,,3,,,,,3,,u,65,1,,Wieviel Punkte hab ich beim Bonuspunkte Programm gewonnen gesammelt?,211,9,0,9,3,1.6528282984,1.6528282984,-0.6424006555,1.6528282984,-0.6424006555,1.2627998906,1.6528282984,-0.6424006555,1.2627998906,0.9114782014,1.6528282984,-0.6424006555,1.2627998906,0.9114782014,1.3648367434,1.6528282984,-0.6424006555,1.2627998906,0.9114782014,1.3648367434,-0.1888893095,1.6528282984,-0.6424006555,1.2627998906,0.9114782014,1.3648367434,-0.1888893095,-3.3550607639,1.6528282984,-0.6424006555,1.2627998906,0.9114782014,1.3648367434,-0.1888893095,-3.3550607639,-0.952000004,1.6528282984,-0.6424006555,1.2627998906,0.9114782014,1.3648367434,-0.1888893095,-3.3550607639,-0.952000004,-0.0362615237,0,0,0,0,0,0,0
ASKFORINFO WELCOME NAV,1,0,2,,0,-1,,1,,,23,0,0,1,0,0,0,1,0,1,0,52,52,0,23,221,23,,,3,,,,,,,s,0,2,Herzlich Willkommen beim Kundenservice der Telekom. Schön dass Sie unser Kunde sind. Dieser Anruf ist kostenfrei. Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren. Sie steuern mich indem Sie mit mir sprechen. Wenn Sie wollen unterbrechen Sie mich einfach. Bitte nennen Sie mir jetzt ihr Anliegen.,,221,52,52,0,3,-1.4882972117,-1.4882972117,-0.6666880856,-1.4882972117,-0.6666880856,0.9131578595,-1.4882972117,-0.6666880856,0.9131578595,0.7257176858,-1.4882972117,-0.6666880856,0.9131578595,0.7257176858,1.0881448064,-1.4882972117,-0.6666880856,0.9131578595,0.7257176858,1.0881448064,0.8162213938,-1.4882972117,-0.6666880856,0.9131578595,0.7257176858,1.0881448064,0.8162213938,0.113993845,-1.4882972117,-0.6666880856,0.9131578595,0.7257176858,1.0881448064,0.8162213938,0.113993845,0.2893370427,-1.4882972117,-0.6666880856,0.9131578595,0.7257176858,1.0881448064,0.8162213938,0.113993845,0.2893370427,0.0317884306,0,1,0,1,1,0,1
