user,task,attempt,start_time,text_system,text_user,asr_hypothesis,speaker,rating,asr_confidence,asr_time,barge-in,n_sys_words,n_user_words,sysTurnDuration,userTurnDuration,system_speech_act,WER,WER_moved,num_turns,num_sorry,mean_WER,mean_asr_conf,sum_barge,mean_sys_words,SSA_sorry,SSA_info,SSA_confirm
2,1,1,0,"Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt ihr Anliegen,",,,s,,,,0,52,,22,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
2,1,1,22,,"Bonuspunkteprogramm,",bonus punkte programm,u,,67,27,0,,1,,2,,0,,,,,,,,,,
2,1,1,28,"Derzeit bieten wir kein aktuelles Bonusprogramm an, Sie befinden Sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,3,,,0,21,,10,,INFO ASKFORINFO NAV,,0,3,0,0,67,0,36.5,0,1,0
2,1,1,38,,"Punkte beim Bonuspunkteprogramm,",unserem bonus punkte programm,u,3,66,41,0,,3,,2,,0.2,,1,0,,66,0,,,,
2,1,1,40,"Derzeit bieten wir kein aktuelles Bonusprogramm an, Sie befinden Sich nun wieder am Start, Was kann ich noch für Sie tun?",,,s,,,,0,21,,12,,INFO ASKFORINFO NAV,,0.2,,,,,,,0,1,0
2,1,1,52,,Wieviel Punkte habe ich beim Bonuspunkteprogramm gesammelt?,,u,,0,,0,,7,,3,,0.8888888889,,,,,,,,,,
2,1,1,55,"Entschuldigung ich konnte Sie leider nicht verstehen, Am besten nennen Sie mir ein Stichwort oder einen kurzen Satz, Bitte wiederholen Sie Ihr Anliegen,",,,s,,,,0,23,,10,,SORRY ASKFORINFO,,0.8888888889,,,,,,,1,0,0
2,1,1,65,,Wieviel Punkte hab ich beim Bonuspunkte Programm gewonnen gesammelt?,,u,,0,,0,,9,,5,,0.9,,,,,,,,,,
2,1,1,70,"Sie sind für Xtra-Bonus registriert, Ihr aktueller Punktestand neununddreizig Komma fünf, Günstige Handys gibt es auch für Xtra-Kunden, Melden Sie Sich hier bei mir für Xtra-Bonus an,",,,s,,,,0,27,,15,,INFO,,0.9,5,1,0.662962963,0,0,23.6666666667,0,1,0
3,1,1,0,"Herzlich Willkommen beim Kundenservice der Telekom, Schön dass Sie unser Kunde sind, Dieser Anruf ist kostenfrei, Sie können bei mir wie bei einem Kundenberater Ihre Tarifeinstellungen ändern und sich informieren, Sie steuern mich indem Sie mit mir sprechen, Wenn Sie wollen unterbrechen Sie mich einfach, Bitte nennen Sie mir jetzt ihr Anliegen,",,,s,,,,0,52,,24,,ASKFORINFO WELCOME NAV,,,,,,,,,0,0,0
